user_id,journey_id,fim
546514,567,2022-03-23 13:16:57.810786
546514,568,2022-03-23 13:18:35.580010
546514,542,2022-01-11 19:06:52.859442
546514,539,2022-01-11 19:02:59.254053
546514,536,2022-01-11 19:13:26.325134
546594,86,2022-11-24 20:02:19.055292
546612,560,2022-02-24 19:11:31.210035
546612,562,2022-02-24 19:50:13.087186
546612,563,2022-02-24 20:26:38.764451
546612,567,2022-02-24 20:38:15.718726
546612,568,2022-02-24 20:45:15.877554
546612,561,2022-02-24 19:24:36.860682
546612,536,2022-01-16 18:40:36.360325
546612,542,2022-01-16 19:52:31.393633
546612,540,2022-01-16 19:36:50.678456
546612,537,2022-01-16 18:44:41.322608
546612,539,2022-01-16 19:41:54.405377
546612,538,2022-01-16 19:18:19.346102
546908,523,2023-03-03 18:19:10.740118
546908,522,2023-03-03 18:19:11.307187
546908,374,2023-02-07 20:08:02.041881
546908,373,2023-02-07 20:07:51.444659
546908,376,2023-02-07 20:37:09.860663
546908,377,2023-02-07 20:37:00.038401
546908,375,2023-02-07 20:35:24.851987
547000,813,2023-01-30 19:58:38.996621
547000,86,2023-01-30 20:27:05.574909
547285,373,2023-02-07 17:49:24.583215
547285,374,2023-02-07 20:43:22.981757
547285,377,2023-02-07 20:53:42.634700
547285,376,2023-02-07 20:53:39.318337
547285,375,2023-02-07 20:53:24.953256
547505,560,2022-02-08 20:34:24.347878
547976,516,2023-02-17 21:02:17.972451
547976,458,2023-02-17 22:02:20.045610
550465,86,2023-04-25 14:14:40.714398
550465,158,2023-04-25 14:11:59.690163
550652,346,2023-02-07 15:20:53.626750
550652,343,2023-02-07 15:20:38.491535
550652,323,2023-02-07 15:29:31.883817
550870,86,2022-07-23 10:06:51.718412
550875,86,2022-10-07 01:43:29.223693
552039,577,2023-03-07 15:43:26.368361
552039,578,2023-03-07 15:43:36.202169
552039,358,2023-02-07 15:45:44.382636
552039,352,2023-02-07 15:48:47.886281
552039,557,2022-01-26 23:16:31.722860
552039,559,2022-01-26 23:17:01.974633
552039,632,2022-05-23 19:12:45.032478
552039,599,2022-05-23 19:18:01.037788
552387,358,2023-02-07 16:52:00.395840
552646,358,2023-02-07 16:04:38.786291
552827,86,2023-07-04 20:30:40.288508
552827,358,2023-02-07 16:09:52.044858
553071,158,2023-05-23 13:52:26.728162
553117,358,2023-02-07 16:26:49.712063
555819,358,2023-02-07 17:11:24.105147
