id,name
477477,Administrativo
477477,Marketing / Comunicação
477477,Logistica / Supply Chain
1085591,Engenharia
1085591,Tecnologia
1085591,Logistica / Supply Chain
315325,Finanças / Contabilidade
1095064,Tecnologia
1092004,Comercial / Vendas
389813,Saúde
389813,Marketing / Comunicação
1085624,Administrativo
1085624,Finanças / Contabilidade
108147,Comercial / Vendas
108147,Engenharia
108147,Administrativo
108147,Marketing / Comunicação
108147,Produção / Operações
108147,Logistica / Supply Chain
1085624,Logistica / Supply Chain
1092004,RH
1092004,Administrativo
1092004,Marketing / Comunicação
1092004,Produção / Operações
1092004,Logistica / Supply Chain
1092386,RH
1092386,Marketing / Comunicação
478793,Engenharia
1085626,RH
1085626,Administrativo
1085626,Finanças / Contabilidade
329976,Produção / Operações
575926,Administrativo
269120,Comercial / Vendas
269120,Marketing / Comunicação
1012512,RH
1084367,Engenharia
1084367,Produção / Operações
1084367,Logistica / Supply Chain
325506,Produção / Operações
1084523,Engenharia
1084523,Produção / Operações
260669,Comercial / Vendas
260669,Marketing / Comunicação
298868,Produção / Operações
1084523,Logistica / Supply Chain
1083711,Comercial / Vendas
1083711,Administrativo
1083711,Marketing / Comunicação
334616,Produção / Operações
308566,Produção / Operações
1085732,Produção / Operações
277553,Marketing / Comunicação
267161,Comercial / Vendas
267161,Marketing / Comunicação
267161,RH
300717,Produção / Operações
303604,Produção / Operações
46796,Produção / Operações
162484,Produção / Operações
1014744,Engenharia
1014744,Tecnologia
1014744,Marketing / Comunicação
303714,Produção / Operações
292683,Produção / Operações
1014744,Logistica / Supply Chain
296083,Produção / Operações
252128,Comercial / Vendas
252128,Marketing / Comunicação
241197,Produção / Operações
307398,Produção / Operações
307860,Produção / Operações
307917,Produção / Operações
303027,Produção / Operações
1090254,Logistica / Supply Chain
1086151,Comercial / Vendas
309531,Produção / Operações
310628,Produção / Operações
1084121,Engenharia
1084121,Tecnologia
315356,Produção / Operações
246337,RH
246337,Saúde
318221,Produção / Operações
1052001,Administrativo
1052001,Finanças / Contabilidade
1090294,Engenharia
1084121,Produção / Operações
1090294,Administrativo
1090294,Produção / Operações
1089035,Marketing / Comunicação
320226,Produção / Operações
1089050,Comercial / Vendas
1089050,Administrativo
68161,Comercial / Vendas
68161,Tecnologia
1038700,Comercial / Vendas
1038700,Tecnologia
1038700,Administrativo
1038700,Marketing / Comunicação
683596,Administrativo
514745,RH
514745,Marketing / Comunicação
683596,Finanças / Contabilidade
352217,Tecnologia
352217,Finanças / Contabilidade
450439,Comercial / Vendas
450439,Tecnologia
450439,Finanças / Contabilidade
450439,Produção / Operações
1089050,Logistica / Supply Chain
1012472,Tecnologia
1012472,Administrativo
1012472,Finanças / Contabilidade
324648,Comercial / Vendas
324648,RH
1012472,Logistica / Supply Chain
1085803,Administrativo
1085803,Logistica / Supply Chain
1090529,Marketing / Comunicação
1089567,Comercial / Vendas
283954,Marketing / Comunicação
283954,RH
1092461,Comercial / Vendas
399186,Marketing / Comunicação
280079,Tecnologia
280079,RH
575991,Comercial / Vendas
575991,Jurídico
575991,Administrativo
575991,Finanças / Contabilidade
283708,Comercial / Vendas
283708,Marketing / Comunicação
283708,RH
1092461,Tecnologia
1092461,Saúde
353922,RH
353922,Administrativo
353922,Finanças / Contabilidade
1092461,Administrativo
1092461,Finanças / Contabilidade
1092461,Logistica / Supply Chain
1103959,Comercial / Vendas
1103959,Tecnologia
1103959,RH
1103959,Administrativo
1103959,Marketing / Comunicação
1103959,Produção / Operações
1103959,Logistica / Supply Chain
1089080,Administrativo
965602,Tecnologia
965602,Marketing / Comunicação
1012601,Administrativo
1083874,Administrativo
1083874,Finanças / Contabilidade
678255,Engenharia
678255,Tecnologia
678255,RH
678255,Saúde
678255,Administrativo
472745,Engenharia
472745,RH
472745,Administrativo
472745,Logistica / Supply Chain
1023072,Tecnologia
356239,Tecnologia
678255,Finanças / Contabilidade
678255,Produção / Operações
1099518,Engenharia
1099518,Tecnologia
1099518,Administrativo
357636,Comercial / Vendas
357636,Tecnologia
357636,RH
357636,Jurídico
357636,Administrativo
357636,Marketing / Comunicação
357636,Finanças / Contabilidade
357636,Produção / Operações
357636,Logistica / Supply Chain
469271,Comercial / Vendas
469271,Engenharia
469271,Produção / Operações
469271,Logistica / Supply Chain
1085858,Comercial / Vendas
1085858,Administrativo
1085858,Finanças / Contabilidade
1085858,Logistica / Supply Chain
352559,RH
352559,Administrativo
352559,Finanças / Contabilidade
352559,Produção / Operações
632122,Jurídico
632122,Marketing / Comunicação
1090509,RH
1090509,Administrativo
497658,Comercial / Vendas
497658,Finanças / Contabilidade
326308,Marketing / Comunicação
326308,Tecnologia
326308,RH
1085746,Comercial / Vendas
1085746,Administrativo
1085746,Finanças / Contabilidade
357720,Administrativo
357720,Finanças / Contabilidade
357720,Produção / Operações
357720,Logistica / Supply Chain
358201,Comercial / Vendas
358201,Tecnologia
358201,Administrativo
358201,Marketing / Comunicação
358201,Finanças / Contabilidade
358201,Logistica / Supply Chain
479741,Comercial / Vendas
479741,Tecnologia
479741,RH
479741,Administrativo
479741,Marketing / Comunicação
1086343,Tecnologia
479741,Finanças / Contabilidade
479741,Logistica / Supply Chain
357638,Finanças / Contabilidade
285536,Tecnologia
1013551,Comercial / Vendas
1013551,Saúde
1013551,Marketing / Comunicação
287484,Marketing / Comunicação
359746,Marketing / Comunicação
1092052,RH
1092052,Saúde
1092052,Administrativo
1053490,Tecnologia
1090574,Engenharia
1090621,Saúde
1083863,Produção / Operações
1085969,Engenharia
1085969,Tecnologia
1074388,Comercial / Vendas
1085969,Administrativo
1085969,Marketing / Comunicação
1089765,Engenharia
1089765,Administrativo
1089765,Produção / Operações
1089765,Logistica / Supply Chain
347825,Comercial / Vendas
347825,Tecnologia
347825,RH
347825,Administrativo
347825,Marketing / Comunicação
347825,Finanças / Contabilidade
347825,Produção / Operações
1110807,Comercial / Vendas
1110807,Tecnologia
1085993,Comercial / Vendas
1085993,Administrativo
1085993,Marketing / Comunicação
1110807,Administrativo
1110807,Finanças / Contabilidade
1110807,Produção / Operações
1110807,Logistica / Supply Chain
1086002,Comercial / Vendas
1086002,Tecnologia
392306,Comercial / Vendas
392306,Engenharia
392306,Tecnologia
392306,Jurídico
392306,Saúde
392306,Administrativo
392306,Finanças / Contabilidade
392306,Produção / Operações
69566,Engenharia
69566,Produção / Operações
69566,Logistica / Supply Chain
1086002,Administrativo
1086002,Marketing / Comunicação
364036,Tecnologia
364036,Produção / Operações
364036,Logistica / Supply Chain
503257,RH
503257,Administrativo
503257,Produção / Operações
363729,Administrativo
363729,Finanças / Contabilidade
363729,Produção / Operações
1013658,RH
1013658,Jurídico
1013658,Administrativo
891078,Comercial / Vendas
891078,Saúde
891078,Marketing / Comunicação
1074388,Jurídico
1074388,Finanças / Contabilidade
1086343,Marketing / Comunicação
1086343,Produção / Operações
303964,Tecnologia
303964,Administrativo
303964,Marketing / Comunicação
