id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1018681,SF_DR,64.00,50.00,42.00,50.00,48.00,52.00
1018883,SF_IR,56.00,44.00,52.00,74.00,56.00,62.00
1015796,SF_SI,0.00,56.00,50.00,54.00,42.00,40.00
1017605,SF_SR,48.00,54.00,22.00,46.00,36.00,56.00
1018896,SF_IR,50.00,44.00,34.00,56.00,36.00,58.00
1017774,SF_DS,50.00,54.00,24.00,24.00,38.00,44.00
1018894,SF_DE,60.00,54.00,48.00,56.00,70.00,52.00
1018868,SF_DI,76.00,50.00,58.00,60.00,44.00,48.00
1018884,SF_DR,52.00,40.00,16.00,44.00,42.00,50.00
1018872,SF_DI,60.00,32.00,24.00,48.00,42.00,48.00
1017612,SF_DR,72.00,46.00,50.00,40.00,40.00,54.00
1018877,SF_DC,50.00,44.00,52.00,48.00,42.00,48.00
1018929,SF_DS,62.00,56.00,26.00,46.00,34.00,42.00
1018881,SF_DR,46.00,32.00,30.00,44.00,44.00,52.00
1018940,SF_DI,56.00,46.00,38.00,62.00,50.00,40.00
1018911,SF_DC,60.00,48.00,58.00,54.00,56.00,52.00
1018878,SF_DI,62.00,48.00,46.00,60.00,56.00,58.00
1018908,SF_CE,62.00,62.00,62.00,62.00,80.00,54.00
1018893,SF_DR,46.00,32.00,28.00,30.00,30.00,48.00
1018891,SF_DC,70.00,56.00,68.00,52.00,62.00,58.00
1018852,SF_IR,48.00,36.00,40.00,56.00,50.00,54.00
1018923,SF_DI,68.00,58.00,46.00,62.00,60.00,54.00
1018892,SF_DC,60.00,42.00,52.00,46.00,46.00,46.00
925922,SF_DR,54.00,44.00,24.00,52.00,22.00,64.00
1018897,SF_DS,58.00,56.00,54.00,46.00,40.00,48.00
1018935,SF_SI,38.00,40.00,30.00,46.00,38.00,34.00
1017956,SF_DE,66.00,46.00,24.00,40.00,46.00,46.00
1018936,SF_DI,62.00,44.00,28.00,60.00,32.00,22.00
1018953,SF_DE,62.00,52.00,56.00,54.00,68.00,42.00
1016527,SF_DI,64.00,48.00,42.00,58.00,52.00,50.00
1018730,SF_DS,52.00,50.00,26.00,34.00,34.00,40.00
1018917,SF_DI,74.00,52.00,48.00,62.00,50.00,46.00
1018915,SF_IE,60.00,42.00,50.00,64.00,68.00,58.00
1018955,SF_DR,62.00,32.00,52.00,46.00,42.00,54.00
1018920,SF_DI,64.00,38.00,38.00,50.00,44.00,48.00
1015370,SF_DC,64.00,30.00,42.00,38.00,42.00,34.00
1018916,SF_DI,52.00,48.00,40.00,50.00,32.00,48.00
1018922,SF_IR,50.00,36.00,30.00,56.00,40.00,52.00
1018930,SF_DS,58.00,64.00,44.00,56.00,50.00,32.00
1018116,SF_DR,54.00,48.00,46.00,44.00,36.00,56.00
1018873,SF_DR,58.00,56.00,46.00,58.00,46.00,68.00
1018918,SF_DI,58.00,40.00,34.00,50.00,44.00,46.00
1018954,SF_DI,52.00,42.00,28.00,50.00,34.00,40.00
1018974,SF_DR,72.00,54.00,32.00,44.00,46.00,58.00
1016273,SF_DS,60.00,52.00,42.00,46.00,46.00,44.00
1018986,SF_DS,60.00,50.00,20.00,48.00,20.00,34.00
1018070,SF_IR,40.00,48.00,32.00,52.00,38.00,54.00
1018971,SF_IE,56.00,44.00,36.00,60.00,66.00,56.00
1018972,SF_IE,46.00,44.00,52.00,58.00,54.00,48.00
1018308,SF_DR,62.00,56.00,52.00,56.00,48.00,64.00
1018965,SF_DR,58.00,50.00,30.00,42.00,30.00,52.00
1018959,SF_DI,62.00,48.00,40.00,54.00,36.00,28.00
880798,SF_DE,58.00,52.00,40.00,54.00,60.00,54.00
1018941,SF_DR,62.00,54.00,40.00,46.00,32.00,56.00
1018934,SF_DE,54.00,42.00,32.00,44.00,46.00,36.00
1018179,SF_IR,50.00,52.00,46.00,60.00,58.00,62.00
929233,SF_DE,72.00,48.00,42.00,50.00,58.00,50.00
1018957,SF_CR,62.00,48.00,64.00,56.00,48.00,68.00
1018944,SF_IR,50.00,34.00,38.00,54.00,48.00,52.00
1019000,SF_DC,74.00,54.00,56.00,56.00,52.00,42.00
1018992,SF_DI,62.00,40.00,50.00,60.00,46.00,34.00
1018846,SF_DR,54.00,34.00,40.00,36.00,46.00,52.00
1018910,SF_DI,64.00,48.00,50.00,60.00,52.00,58.00
1018951,SF_DR,62.00,54.00,26.00,48.00,38.00,56.00
1018952,SF_DI,72.00,56.00,54.00,62.00,60.00,52.00
1018976,SF_DR,60.00,44.00,42.00,58.00,58.00,62.00
1018984,SF_DI,54.00,38.00,42.00,56.00,52.00,52.00
1018973,SF_IR,54.00,54.00,40.00,58.00,52.00,56.00
1018928,SF_DI,58.00,42.00,46.00,52.00,46.00,48.00
1018588,SF_DI,72.00,48.00,48.00,66.00,60.00,60.00
